Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),TOT-RF (mm),SR (W/mt2),BP (mmHg),NO2_NO_ratio,VOC_NOx_ratio,hour_sin,hour_cos,month_sin,month_cos,Wind_U,Wind_V,Ozone_Baseline,Ozone_Anomaly
2024-10-27 13:00:00,142.0,257.0,18.88,95.4,66.15,114.4,12.92,1.54,6.78,3.4,82.98,33.85,47.25,1.78,245.75,0.0,300.25,736.5,4.798792756539236,1.286373790022338,-0.2588190451025208,-0.9659258262890683,-0.8660254037844386,0.5000000000000001,1.622936437567218,0.731079557651989,48.0446491936921,-41.2646491936921
2024-10-27 14:00:00,150.0,313.0,16.6,92.5,62.7,130.32,13.2,1.46,16.65,3.32,75.15,33.92,46.25,1.48,249.0,0.0,291.0,736.0,5.2556818181818175,1.2318681318681317,-0.4999999999999997,-0.8660254037844388,-0.8660254037844386,0.5000000000000001,1.3816990312158584,0.530384565327045,47.99135190059741,-31.34135190059741
2024-10-27 15:00:00,127.0,196.0,15.55,110.57,71.47,126.0,11.5,1.44,32.02,3.15,77.25,33.68,46.5,0.88,249.0,0.0,278.5,736.0,6.680966767371601,1.1094245894853043,-0.7071067811865471,-0.7071067811865479,-0.8660254037844386,0.5000000000000001,0.8215507753175374,0.3153637955998646,47.95101655315459,-15.931016553154585
2024-10-27 16:00:00,133.0,263.0,18.68,124.18,81.2,130.38,11.35,1.5,46.98,3.12,75.85,33.0,48.0,0.88,249.0,0.0,253.0,736.0,6.3099593495934965,0.9607055961070559,-0.8660254037844385,-0.5000000000000004,-0.8660254037844386,0.5000000000000001,0.8215507753175374,0.3153637955998646,47.93309081912324,-0.9530908191232399
2024-10-27 17:00:00,126.0,299.0,90.38,232.8,197.22,136.6,11.18,1.7,13.58,4.45,77.53,31.6,53.5,0.3,249.0,0.0,99.25,736.0,2.5476034143138544,0.4135808697406922,-0.9659258262890683,-0.25881904510252063,-0.8660254037844386,0.5000000000000001,0.2800741279491605,0.10751038486359021,47.943019458649594,-34.363019458649596
2024-10-27 18:00:00,109.0,429.0,203.32,197.02,269.95,104.42,11.28,2.21,8.15,3.68,77.95,30.4,57.5,0.3,249.0,0.0,6.5,737.0,0.9642717306186375,0.3012732976563942,-1.0,-1.8369701987210297e-16,-0.8660254037844386,0.5000000000000001,0.2800741279491605,0.10751038486359021,47.91451820844007,-39.76451820844007
2024-10-27 19:00:00,149.0,462.0,283.98,174.23,323.55,82.0,12.82,2.86,25.02,4.05,79.03,29.78,61.0,0.35,249.0,0.0,5.25,737.0,0.6113762369289072,0.2559852102911724,-0.9659258262890684,0.2588190451025203,-0.8660254037844386,0.5000000000000001,0.32675314927402055,0.12542878234085525,47.88617787569461,-22.866177875694607
2024-10-27 20:00:00,251.0,605.0,370.48,146.3,378.98,83.5,15.42,3.41,32.7,4.2,134.28,29.52,62.25,0.38,249.0,0.0,5.25,737.25,0.39383008506514483,0.3644402336965103,-0.8660254037844386,0.5000000000000001,-0.8660254037844386,0.5000000000000001,0.35476056206893664,0.13617982082721428,47.88604767709301,-15.186047677093008
2024-10-27 21:00:00,272.0,731.0,289.73,161.82,321.6,84.42,15.25,3.76,90.9,5.22,117.7,29.3,62.75,0.55,249.0,0.0,5.0,737.25,0.5565989062016303,0.38102913825170487,-0.7071067811865477,0.7071067811865474,-0.8660254037844386,0.5000000000000001,0.5134692345734609,0.19710237224991542,47.89876397621157,43.00123602378844
2024-10-27 22:00:00,296.0,549.0,247.32,170.48,291.77,81.18,15.9,3.75,26.2,4.9,148.9,29.12,61.75,0.38,249.0,0.0,5.0,737.0,0.6865335051546392,0.5253270485363938,-0.5000000000000004,0.8660254037844384,-0.8660254037844386,0.5000000000000001,0.35476056206893664,0.13617982082721428,47.9921478583802,-21.7921478583802
2024-10-27 23:00:00,307.0,591.0,277.8,180.08,321.65,102.32,19.12,3.6,14.1,6.18,153.55,28.9,62.75,0.62,249.0,0.0,5.0,736.25,0.6459110473457675,0.4950565628389897,-0.25881904510252157,0.9659258262890681,-0.8660254037844386,0.5000000000000001,0.578819864428265,0.22218812871808644,47.994861808184375,-33.89486180818437
