Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),NO2_NO_ratio,VOC_NOx_ratio,hour_sin,hour_cos,month_sin,month_cos,Wind_U,Wind_V,Ozone_Baseline,Ozone_Anomaly
2020-01-02 07:00:00,257.75,418.0,442.02,41.08,382.12,54.92,9.93,2.8,2.8,11.02,101.1,6.02,95.2,0.38,199.9,0.0,0.0,225.27,998.72,0.0927271906460205,0.29264982250991856,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,0.12934422908095905,0.3573094882639592,16.83516129032258,-14.03516129032258
2020-01-02 08:00:00,291.0,488.25,228.3,85.42,231.0,55.52,10.1,2.5,2.7,10.62,88.57,9.9,94.45,0.62,132.62,0.0,0.0,216.32,999.65,0.37252507631923243,0.42754310344827584,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387,-0.45623367615563637,0.4198223823732054,16.3965625,-13.696562500000002
2020-01-02 09:00:00,276.25,473.5,43.3,70.5,72.65,55.22,9.95,1.82,4.22,8.7,90.2,14.52,72.15,0.95,61.68,0.0,0.0,203.22,999.5833333333334,1.5914221218961626,1.3428377460964018,0.7071067811865476,-0.7071067811865475,0.49999999999999994,0.8660254037844387,-0.8362962212735742,-0.45067574849723274,15.98151515151515,-11.761515151515152
2020-01-02 10:00:00,238.5,425.5,12.12,45.1,33.85,55.45,10.38,1.35,19.48,5.3,186.12,18.02,55.72,1.18,67.3,0.0,0.0,205.2,999.5166666666667,3.4375000000000004,5.492682926829269,0.49999999999999994,-0.8660254037844387,0.49999999999999994,0.8660254037844387,-1.0885949455583708,-0.455369129942696,15.635588235294119,3.8444117647058818
2020-01-02 11:00:00,198.75,358.5,12.82,44.12,33.78,55.65,10.07,1.08,32.28,3.75,267.8,20.78,45.08,0.9,90.4,0.0,0.0,201.05,999.45,3.192474674384949,7.80764807360552,0.258819045102521,-0.9659258262890682,0.49999999999999994,0.8660254037844387,-0.8999780676348553,0.00628313426816535,15.745428571428572,16.53457142857143
2020-01-02 12:00:00,156.75,286.0,4.95,21.82,15.68,50.8,10.0,0.78,59.9,2.33,128.78,22.02,35.48,1.05,80.7,0.0,0.0,143.12,998.38,3.6672268907563024,7.8603117505995215,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387,-1.0361985022271476,-0.16968401215852938,16.204722222222223,43.695277777777775
2020-01-02 13:00:00,76.0,149.5,5.3,28.75,19.6,47.15,9.7,0.7,73.05,1.52,84.82,22.68,32.88,1.18,75.15,0.0,0.0,95.55,997.2,4.563492063492063,4.191262135922329,-0.2588190451025208,-0.9659258262890683,0.49999999999999994,0.8660254037844387,-1.1405881203799506,-0.3024214602969359,17.385675675675675,55.664324324324326
2020-01-02 14:00:00,70.5,167.25,7.0,35.25,24.48,43.6,9.38,0.7,71.82,2.25,181.82,22.82,32.5,1.0,88.18,0.0,0.0,104.95,996.35,4.40625,7.224097331240188,-0.4999999999999997,-0.8660254037844388,0.49999999999999994,0.8660254037844387,-0.9994955350492036,-0.03175965076486333,18.850526315789473,52.96947368421052
2020-01-02 15:00:00,65.75,168.25,17.88,55.28,43.95,38.67,9.5,0.72,51.35,1.5,76.65,21.85,34.92,1.2,121.28,0.0,0.0,139.18,996.2,2.9279661016949157,1.7385984427141268,-0.7071067811865471,-0.7071067811865479,0.49999999999999994,0.8660254037844387,-1.0255681493437236,0.6230649814037778,20.208717948717947,31.141282051282055
2020-01-02 16:00:00,49.5,140.25,19.98,72.42,54.88,41.72,8.93,0.88,31.88,1.4,16.5,20.6,39.85,0.98,113.4,0.0,0.0,190.78,996.12,3.451858913250715,0.3203292770221904,-0.8660254037844385,-0.5000000000000004,0.49999999999999994,0.8660254037844387,-0.8993995331703016,0.38920493282208485,20.98725,10.89275
