PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Leighton_ratio,VOC_NOx_ratio,O3_lag1,NOx_lag1
144.17,185.83,44.3,24.5,49.03,31.87,17.62,1.51,15.81,0.39,27.466,0.0077953228063162,15.81,77.16
130.96,172.57,52.54,27.48,57.33,36.03,21.59,1.77,15.81,0.31,29.166341292134835,0.0053145894051088,15.81,49.03
109.94,175.56,83.35,25.68,81.41,50.1,18.24,2.74,3.2,0.39,9.997001499250374,0.0047324353840553,15.81,57.33
153.2,229.13,105.98,24.66,99.2,60.97,19.88,3.26,17.08,0.39,70.54319563522992,0.0038922155688622,3.2,81.41
154.54,205.54,53.33,25.47,56.89,36.82,21.79,1.9,19.76,0.39,39.81113713638081,0.0067369148384867,17.08,99.2
79.66,122.26,42.32,20.87,45.51,29.93,26.84,1.3,25.19,0.39,48.74443529949703,0.0083852934852719,19.76,56.89
62.84,111.72,46.21,20.58,48.47,32.07,21.68,1.19,27.27,0.39,58.3941936978684,0.007883565797453,25.19,45.51
70.85,119.47,50.12,26.46,54.8,35.36,29.69,1.39,22.29,0.39,40.68371449380918,0.0069892473118279,27.27,48.47
113.78,165.76,73.06,29.68,75.18,46.07,27.42,2.15,19.79,0.39,47.12703389830508,0.0051194539249146,22.29,54.8
143.0,203.51,80.13,29.98,81.09,51.19,28.1,2.35,16.86,0.39,43.60851517107811,0.0047508831770008,19.79,75.18
117.47,176.77,77.95,31.06,79.88,48.99,37.32,3.41,19.52,0.39,47.460511540860885,0.0048219584569732,16.86,81.09
136.61,213.21,138.64,33.84,130.52,80.79,29.27,5.17,15.32,0.39,60.96339839265211,0.0029653284671532,19.52,79.88
132.62,186.82,64.33,33.01,69.71,44.6,18.68,1.33,23.97,0.39,45.339314907380185,0.0055154857870173,15.32,130.52
79.54,100.89,52.14,22.27,54.19,35.13,13.4,0.74,25.04,0.39,56.10595616673829,0.0070664975539046,23.97,69.71
138.85,180.53,76.53,24.05,74.88,46.44,19.71,1.65,16.14,0.39,49.30914970059881,0.0051396942540853,25.04,54.19
209.12,248.63,63.55,24.16,64.45,42.07,18.3,0.96,21.43,0.39,54.128636724960245,0.0059587471352177,16.14,74.88
146.84,190.63,62.89,27.69,65.77,41.99,19.7,0.81,22.81,0.39,50.00072847682119,0.005840946532874,21.43,64.45
192.54,256.12,66.39,27.68,68.69,42.99,22.38,1.09,24.91,0.39,57.66300209205021,0.0055962117950925,22.81,65.77
167.53,233.82,88.05,28.12,86.52,53.96,19.36,1.55,23.56,0.39,71.23825549450548,0.0044561243144424,24.91,68.69
148.71,232.95,77.56,29.86,78.77,49.72,12.31,1.04,18.44,1.03,46.34499027867791,0.0129121223517613,23.56,86.52
